title,author,publisher,publication_year,call_number,ISBN
문학이란 무엇인가,장폴 사르트르 지음;정명환 옮김,민음사,2003,808 세18민 v.9,8937460092
최영준,최영준 그림,삼광문화사,2005,653.11 ㅊ554ㅊ c.2,
암흑의 핵심,조셉 콘래드 지음;이상옥 옮김,민음사,2003,808 세18민 v.7,8937460076
동물농장,조지 오웰 지음;도정일 옮김,민음사,2003,808 세18민 v.5 c.4,893746005X
변신 이야기. 2,오비디우스 지음;이윤기 옮김,민음사,2003,808 세18민 v.2,8937460025
변신 이야기. 1,오비디우스 지음;이윤기 옮김,민음사,2003,808 세18민 v.1,8937460017
(청소년)토지. 12: 5부 2권,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.12,8957070133
(청소년)토지. 11: 5부 1권,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.11,8957070125
(청소년)토지. 10: 4부,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.10,8957070117
(청소년)토지. 9: 3부 3권,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.9,8957070109
(청소년)토지. 8: 3부 2권,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.8,8957070095
(청소년)토지. 7: 3부 1권,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.7,8957070087
(청소년)토지. 6: 2부 3권,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.6,8957070079
(청소년)토지. 5: 2부 2권,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.5,8957070060
(청소년)토지. 4: 2부 1권,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.4,8957070052
(청소년)토지. 3: 1부 3권,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.3,8957070044
(청소년)토지. 2: 1부 2권,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.2,8957070036
(청소년)토지. 1: 1부 1권,박경리 지음;토지문학연구회 엮음,이룸,2003,813.6 박14토ㅊ v.1,8957070028
삼국지. 10: 천하대세는 하나로,나관중 지음;황석영 옮김,창작과비평사,2003,823.5 나18삼ㅎ v.10,893643053X
삼국지. 9: 하늘이 정한 운수,나관중 지음;황석영 옮김,창작과비평사,2003,823.5 나18삼ㅎ v.9,8936430521
삼국지. 8: 남은 뜻을 위하여,나관중 지음;황석영 옮김,창작과비평사,2003,823.5 나18삼ㅎ v.8,8936430513
삼국지. 7: 무상한 원한,나관중 지음;황석영 옮김,창작과비평사,2003,823.5 나18삼ㅎ v.7,8936430505
삼국지. 6: 서촉으로 가는 길,나관중 지음;황석영 옮김,창작과비평사,2003,823.5 나18삼ㅎ v.6,8936430491
삼국지. 5: 천하 삼분의 시작,나관중 지음;황석영 옮김,창작과비평사,2003,823.5 나18삼ㅎ v.5,8936430483
삼국지. 4: 풍운을 만난 용,나관중 지음;황석영 옮김,창작과비평사,2003,823.5 나18삼ㅎ v.4,8936430475
삼국지. 3: 고난을 넘어서,나관중 지음;황석영 옮김,창작과비평사,2003,823.5 나18삼ㅎ v.3,8936430467
삼국지. 2: 패권을 다투는 영웅들,나관중 지음;황석영 옮김,창작과비평사,2003,823.5 나18삼ㅎ v.2,8936430459
